Year, January, February, March, April, May, June, July, August, September, October, November, December, Total
1948,,,,,,,,2.47,1.93,3.07,-0.46,0.69,7.90
1949,-1.60,-1.63,-1.65,-1.68,-1.71,-1.74,-1.52,-1.29,-1.04,0.00,0.00,-0.26,-13.27
1950,-1.58,-0.80,-1.89,-0.83,-0.28,-0.84,-1.40,-0.28,0.57,0.85,0.28,0.84,-5.28
1951,2.23,2.18,2.93,1.30,0.51,1.02,0.00,-0.50,0.00,1.01,0.50,0.25,11.98
1952,0.00,-0.50,-0.25,-1.00,-1.01,-0.77,-0.52,0.00,-0.26,-0.26,0.26,0.00,-4.23
1953,-0.26,-1.04,-0.26,4.22,-1.01,-0.77,-0.52,0.00,-0.26,-0.26,0.26,0.00,0.00
1954,-4.16,0.27,0.00,0.27,0.00,0.00,0.81,-0.80,0.00,0.00,0.81,0.00,-2.86
1955,0.27,0.00,0.00,0.00,0.00,0.00,1.07,-1.06,0.00,0.00,0.00,0.27,0.53
1956,0.00,0.53,1.32,-0.26,0.00,0.00,0.52,-1.30,0.26,0.53,0.52,0.26,2.39
1957,0.26,0.52,-0.26,0.26,0.26,0.00,1.54,-0.51,0.00,0.51,0.00,0.25,2.86
1958,0.76,0.25,0.25,0.00,0.00,0.00,0.25,-1.00,-0.25,0.00,0.50,0.25,1.01
1959,0.00,0.00,0.00,-0.25,0.00,0.00,1.00,0.00,-0.25,0.25,0.74,-0.25,1.25
1960,-0.25,0.00,0.00,0.00,0.25,-0.49,0.99,-1.23,0.00,0.25,0.00,0.25,-0.25
1961,0.74,0.00,0.49,0.00,0.24,0.73,0.73,0.00,0.00,0.00,0.00,0.24,3.22
1962,0.96,0.24,0.47,0.24,0.00,0.24,0.00,-0.70,0.00,0.00,0.47,0.47,2.40
1963,0.70,0.23,0.00,0.23,-0.23,0.00,-0.23,-0.70,0.23,0.47,0.23,0.00,0.94
1964,0.70,0.23,0.00,0.00,0.00,0.00,0.00,-0.23,-0.23,0.23,0.46,0.23,1.39
1965,0.69,0.00,0.23,0.00,0.45,0.45,0.22,-0.22,-0.22,0.23,0.22,0.67,2.75
1966,0.22,0.00,0.44,0.44,0.22,-0.22,0.00,-0.66,-0.22,0.22,0.67,0.22,1.34
1967,0.00,0.00,0.22,0.00,0.22,0.00,-0.22,-0.44,0.00,-0.22,0.22,0.00,-0.22
1968,0.22,0.00,0.00,0.00,0.00,0.00,0.00,-0.44,-0.22,0.22,0.44,0.00,0.22
1969,0.22,0.22,0.22,0.22,0.22,0.00,0.00,-0.65,0.00,0.22,0.44,0.43,1.54
1970,1.08,0.43,0.21,0.21,0.42,0.21,0.00,0.00,0.00,0.21,0.63,0.42,3.90
1971,1.04,0.82,0.61,0.20,0.41,0.20,0.00,-0.20,0.20,0.40,0.40,0.40,4.58
1972,1.00,0.59,0.20,0.20,0.39,0.39,0.39,-0.19,0.97,0.57,0.76,0.38,5.78
1973,0.75,0.75,0.74,0.55,0.73,0.55,0.00,-0.18,0.18,0.90,1.43,0.88,7.53
1974,0.53,0.87,0.52,0.69,0.68,0.34,0.34,0.17,0.34,0.67,0.83,0.33,6.48
1975,0.82,0.16,0.16,0.81,0.81,0.48,0.00,-0.32,0.32,0.16,0.16,0.16,3.78
1976,0.79,0.63,0.16,0.31,0.31,0.16,-0.46,0.16,0.00,0.31,0.15,0.62,3.17
1977,1.08,0.46,0.45,0.60,0.45,0.30,-0.15,-0.15,0.00,0.00,0.30,0.30,3.69
1978,0.44,0.44,0.29,0.44,0.15,0.15,0.00,-0.58,0.00,0.15,0.15,0.29,1.93
1979,0.58,0.58,0.72,0.43,0.28,0.42,0.71,-0.14,0.14,0.42,0.42,0.28,4.94
1980,1.25,0.41,0.41,0.68,0.67,0.27,0.00,0.00,0.00,0.00,0.93,0.53,5.26
1981,0.66,0.65,0.65,0.65,0.77,0.00,0.25,-0.13,0.64,0.38,0.50,0.38,5.53
